2022-11-10 22:02:21 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-11-10 22:02:23 [main] INFO  i.m.s.t.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-11-10 22:02:24 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c5420960-cb4b-3f01-a040-5d97edee1dd2
2022-11-10 22:02:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-11-10 22:02:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-11-10 22:02:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-11-10 22:02:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-11-10 22:02:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-10 22:02:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1221 ms
2022-11-10 22:02:25 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-11-10 22:02:28 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-11-10 22:02:28 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-11-10 22:02:28 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-11-10 22:02:28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-11-10 22:02:29 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-11-10 22:02:29 [main] INFO  i.m.s.t.config.server.ConfigServer - Started ConfigServer in 10.318 seconds (JVM running for 11.514)
2022-11-10 22:02:30 [RMI TCP Connection(2)-192.168.1.187] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-10 22:02:30 [RMI TCP Connection(2)-192.168.1.187] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-10 22:02:30 [RMI TCP Connection(2)-192.168.1.187] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2022-11-10 22:02:31 [RMI TCP Connection(3)-192.168.1.187] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-11-10 22:03:32 [http-nio-8888-exec-1] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-11-10 22:03:32 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/farid/AppData/Local/Temp/config-repo-11108423593581146497/config-client.yml
2022-11-10 22:07:07 [http-nio-8888-exec-5] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-11-10 22:07:07 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/farid/AppData/Local/Temp/config-repo-11108423593581146497/config-client-twitter_to_kafka.yml
2022-11-10 22:07:07 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/farid/AppData/Local/Temp/config-repo-11108423593581146497/config-client.yml
2022-11-10 22:07:54 [Thread-3] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\farid\AppData\Local\Temp\config-repo-11108423593581146497\.git\objects\pack\pack-8cf0877833a2135f1ced7ec7f6ed7fb34151d75c.idx
2022-11-10 22:07:54 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
